"Time","cpu5_usage"
1710336475000,1.8681547619044614
1710336480000,1.8616071428598446
1710336485000,1.8616071428598446
1710336490000,1.8616071428598446
1710336495000,3.1410714285707964
1710336500000,3.1410714285707964
1710336505000,3.1410714285707964
1710336510000,6.157440476190901
1710336515000,6.157440476190901
1710336520000,6.157440476190901
1710336525000,9.158630952378676
1710336530000,9.158630952378676
1710336535000,9.158630952378676
1710336540000,12.128869047618585
1710336545000,12.128869047618585
1710336550000,12.128869047618585
1710336555000,15.150297619049002
1710336560000,15.150297619049002
1710336565000,15.150297619049002
1710336570000,18.157142857142915
1710336575000,18.157142857142915

