"Time","sda_3"
1710336475000,197792.91428571427
1710336480000,197792.91428571427
1710336485000,203673.59999999998
1710336490000,203673.59999999998
1710336495000,203673.59999999998
1710336500000,204634.2095238095
1710336505000,204634.2095238095
1710336510000,204634.2095238095
1710336515000,208364.49523809523
1710336520000,208364.49523809523
1710336525000,208364.49523809523
1710336530000,213479.61904761902
1710336535000,213479.61904761902
1710336540000,213479.61904761902
1710336545000,222476.19047619044
1710336550000,222476.19047619044
1710336555000,222476.19047619044
1710336560000,224699.7333333333
1710336565000,224699.7333333333
1710336570000,224699.7333333333
1710336575000,204370.89523809523

